Station,Tmean(C)
1041,19.6
1056,19.7
1155,19.5
1285,20.5
1340,18.8
1374,19.3
1401,16.5
1402,20.4
1410,20.0
1423,18.9
1434,18.9
1468,18.8
1485,20.4
1495,19.2
1500,19.1
1513,20.5
1534,18.7
1565,19.1
1569,18.6
1577,19.5
1589,16.4
1672,19.6
1703,19.6
1723,16.0
1753,18.9
1757,19.5
1768,16.9
1819,14.8
1841,15.3
1874,19.5
1883,19.7
1945,19.6
1962,19.4
1965,19.3
2011,18.9
2032,17.7
2075,19.5
2081,19.6
2101,17.9
2103,16.9
2128,18.2
2136,17.0
2165,17.5
2197,18.5
2212,17.2
2250,15.6
2261,16.7
2278,14.9
2333,16.8
2347,15.3
2357,12.5
2414,13.9
2473,15.8
2488,16.0
2495,17.1
2534,15.8
2544,17.0
2592,17.0
2612,16.5
2614,15.0
2623,16.9
2639,16.4
2651,18.9
2725,20.5
2805,20.9
2807,20.5
2810,21.0
2832,16.8
2964,14.2
2997,18.1
3031,18.0
3096,14.8
3115,18.5
3124,19.1
3145,16.7
3206,15.6
3232,15.9
3238,15.8
3277,16.0
3369,15.7
3385,15.4
3424,16.0
3460,14.4
3477,15.7
3532,13.3
3629,14.2
3659,15.4
3671,16.8
3715,15.8
3719,15.7
3789,14.0
3798,15.5
3810,15.2
3846,14.8
3892,14.1
3909,14.2
3910,14.1
3918,16.5
3925,16.4
3950,14.4
4021,15.5
4031,13.3
4053,13.1
4060,12.3
4107,12.6
4162,14.8
4232,16.1
4239,15.6
4241,15.0
4310,17.3
4325,17.0
4420,17.9
4458,17.4
4461,15.7
4507,16.8
4513,11.2
4532,18.3
4566,18.9
4591,12.3
4651,13.9
4657,14.0
4670,16.5
4698,15.8
4764,15.8
4772,15.0
4778,15.7
4780,16.0
4827,19.2
4836,17.4
4843,18.3
4858,18.6
4870,18.2
4871,16.8
4882,17.2
4951,18.8
4960,15.0
4970,13.3
4996,14.9
5041,14.3
5061,15.2
5075,15.5
5095,14.2
5102,14.5
5113,16.7
5223,14.9
5234,15.1
5243,15.6
5258,12.7
5323,12.4
5355,12.2
5397,12.5
5402,12.5
5426,10.3
5446,15.8
5450,13.0
5475,8.6
5496,12.0
5528,15.8
5529,14.9
5543,15.6
5577,14.1
5580,15.7
5645,13.0
5683,10.4
5686,12.1
5745,10.0
5768,13.1
5814,10.3
5823,12.4
5836,10.1
5867,12.0
5893,14.0
5904,12.5
