Name,Agent Number,Network Number,Latitude,Longitude,Height,Posn_Precision,Observing Authority
Appleby 2 Ews,21937,G13305,-41.31727,173.09482,18,H,Niwa
Albert Burn,35098,I48391,-44.381,168.926,1280,G,Niwa/Orc
Akaroa Ews,36593,H32895,-43.80938,172.96574,45,H,Niwa
Alexandra Aws,41163,I5923D,-45.21452,169.37549,231,H,Metservice
Alexandra Ews,43904,I5923E,-45.25458,169.38448,132,H,Niwa
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
"Eglinton, Knobs Flat Cws",37382,I48905,-44.97781,168.018,365,H,Niwa
Farewell Spit Aws,3798,F03502,-40.54483,173.00097,3,H,Metservice
Firth Of Thames Ews,38619,C75241,-37.21514,175.45045,3,H,Niwa
Five Rivers Cws,40845,I58632,-45.6259,168.36702,260,H,Niwa
Te Kuiti High School,2212,C85314,-38.33356,175.15328,54,H,N/A
Whakamarama 1,1589,B75792,-37.75186,175.96962,392,H,N/A
East Taratahi Aws,2612,D15064,-41.016,175.622,91,G,Metservice
"Masterton, Te Ore Ore",7578,D05973,-40.957,175.707,110,T,N/A
Fairlie 2,7726,H40185,-44.10263,170.82531,300,H,N/A
Waimate,5102,H41701,-44.741,171.036,64,T,N/A
"Auckland,Owairaka",1468,A64971,-36.893,174.726,41,G,N/A
Kawerau Temp Only,31829,B86073,-38.087,176.7,42,T,Metservice
Timaru 2,5095,H41424,-44.40882,171.25434,17,H,N/A
Kerikeri Aero 2,1087,A53293,-35.26469,173.91134,150,H,N/A
Harper River,4657,H31241,-43.213,171.461,533,G,N/A
"Akaroa,Rue Lavaud",4951,H32893,-43.80418,172.96997,4,H,N/A
Cromwell 2,5529,I59024,-45.035,169.195,213,G,N/A
Clyde Dam,5543,I59133,-45.19,169.311,160,G,N/A
"Hamilton, Ruakura Ews",12616,C75733,-37.77879,175.31271,40,H,Niwa
"Cheviot, The Lakes",12715,H23823,-42.83198,172.22655,70,H,N/A
Wallaceville,3477,E15102,-41.135,175.052,56,T,N/A
"Ohakune, Ruapehu College",9355,E95447,-39.419,175.412,610,T,N/A
"Seddon, Lucknow",11699,G14703,-41.723,174.075,90,T,N/A
Lake Rotoiti 2,3892,F12882,-41.80779,172.84213,634,H,N/A
Waipara West,4794,H32062,-43.06886,172.65301,145,H,N/A
"Wellington, Kelburn",3385,E14272,-41.286,174.767,125,G,Metservice
Manukau Heads 2,1500,A74052,-37.05276,174.54436,237,H,N/A
Coromandel,1513,B65752,-36.736,175.502,100,T,N/A
Pahiatua,7385,D05484,-40.458,175.829,112,G,N/A
Whangarei Aero Aws,1287,A54737,-35.77062,174.36285,37,H,Metservice
Whangaparaoa Aws,1400,A64683,-36.60268,174.83458,100,H,Metservice
Whitianga Aero Aws,1520,B65862,-36.83237,175.67542,5,H,Metservice
Whakatu Ews,15876,D96696,-39.60698,176.91148,5,H,Niwa
Whakatane Aero Aws,1673,B76995,-37.92478,176.91857,8,H,Metservice
Windsor Ews,18594,I50087,-45.00829,170.82281,81,H,Niwa
Cheviot Ews,31832,H23825,-42.82722,173.22409,75,H,Niwa
"Whanganui, Spriggens Park Ews",3715,E95902,-39.93704,175.04509,15,H,N/A
Whanganui Aero Aws,3719,E95906,-39.96122,175.02581,14,H,Metservice
Lower Retaruke Cws,37850,C95012,-39.07486,175.19667,233,H,Niwa
Akitio Ews,38057,D06541,-40.577,176.449,245,G,Niwa
Castle Mount Ews,38830,F47873,-44.83407,167.77752,2000,H,Niwa
Haast Aws,4097,F39803,-43.86003,169.00652,1,H,Metservice
Whangarei Ews,40980,A54738,-35.744,174.329,12,G,Niwa
Whakatane Ews,40982,B76999,-37.94815,176.96773,1,H,Niwa
Westport Ews,41382,F11765,-41.743,171.612,6,G,Niwa
Balmoral East Cws,42704,H22881,-42.83025,172.83463,172,H,Niwa
Winchmore 2 Ews,42899,H31772,-43.78935,171.79032,164,H,Niwa
Waipara North Branch Ews,45225,H22945,-42.94096,172.42789,497,H,Niwa
Le Bons Bay Aws,4960,H33712,-43.7461,173.1219,238,H,Metservice
Franz Josef Ews,24926,F30313,-43.36548,170.13428,80,H,Niwa
Gisborne Ews,24976,D87697,-38.62747,177.9218,12,H,Niwa
Gisborne Aero Aws,2810,D87695,-38.6586,177.98513,5,H,Metservice
Galatea Aws,37652,B86476,-38.4084,176.74233,175,H,Metservice
Flat Hills Wxt Aws,38672,E95869,-39.8932,175.65799,262,H,Metservice
Katikati 2,1569,B75592,-37.547,175.945,2,T,N/A
Normanby Edr,3551,E9452A,-39.51,174.252,122,G,Metservice
Punakaiki Rocks,3918,F21132,-42.112,171.334,4,G,N/A
Edievale 2,5670,I59732,-45.80245,169.36889,270,H,N/A
Turangi Ews,12432,C95087,-38.995,175.79465,375,H,Niwa
"Port Fitzroy, Great Barrier",1485,A65132,-36.17139,175.36273,4,H,N/A
Whatawhata,2103,C75801,-37.812,175.087,104,G,N/A
Whakatane Motor Camp,7450,B76996,-37.951,176.985,5,G,N/A
Stratford Dem Farm,3532,E94333,-39.338,174.303,311,G,N/A
Twizel 2,4997,H40213,-44.264,170.103,457,G,N/A
Taiaroa Head,5355,I50771,-45.777,170.728,72,G,N/A
Dargaville Ews,16137,A53986,-35.944,173.835,15,G,N/A
Masterton Intermediate School,17466,D0596E,-40.958,175.67,115,T,N/A
Waimana,1883,B87103,-38.146,177.079,37,G,N/A
Kawerau Ews,21866,B86072,-38.04,176.753,18,T,N/A
Te Paki Aws,22249,A42572,-34.505,172.798,39,T,Metservice
"Mt Ruapehu,Chateau 2",2357,C95152,-39.198,175.544,1097,G,N/A
Palmerston N,3238,E05363,-40.382,175.609,34,G,N/A
Appleby Ews,12755,G13212,-41.293,173.099,17,G,N/A
"Mt Cook,The Hermitage",4591,H30711,-43.734,170.093,765,G,N/A
"Lincoln, Broadfield Edl",4882,H32642,-43.628,172.468,12,G,N/A
"Martinborough, Dublin Street",7336,D15248,-41.217,175.45,22,G,N/A
Warkworth,1374,A64463,-36.434,174.668,72,G,N/A
Te Aroha,1565,B75571,-37.547,175.716,18,G,N/A
"Martinborough, Huangarua Rd",2651,D15247,-41.213,175.465,30,G,N/A
Waione,7341,D06432,-40.46,176.303,48,G,N/A
Mimiwhangata,10745,A54441,-35.443,174.423,5,T,N/A
Dargaville 2,1192,A53982,-35.944,173.835,15,G,N/A
Kaitoke,3460,E15011,-41.08,175.191,223,G,N/A
Kaingaroa Forest,1819,B86451,-38.41,176.56,544,G,N/A
"New Plymouth, Highlands Intermediate",10034,C94007,-39.077,174.09,5,T,N/A
Whakatu,3031,D96695,-39.611,176.914,6,G,N/A
St Bathans 3,5239,I49883,-44.875,169.823,640,G,N/A
Purerua Aws,1196,A54101,-35.12544,174.01681,87,H,Metservice
Baring Head,18234,D14482,-41.40828,174.87146,79,H,Niwa
"Mt Ruapehu, Chateau Ews",18464,C95153,-39.19589,175.54504,1097,H,Niwa/Doc
Motu Ews,1905,B87256,-38.28566,177.52941,488,H,Niwa
Port Taharoa Aws,2136,C84174,-38.17032,174.70373,18,H,Metservice
Ashburton Aero Aws,26170,H31983,-43.90328,171.80413,88,H,Metservice
Murchison Mtns Ews,35614,I57261,-45.222,167.63,1140,G,Niwa
Orari Estate Ews,35704,H41132,-44.12476,171.31075,81,H,Niwa
Waiau School Cws,36157,H23605,-42.653,173.043,136,G,Niwa
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
Waitutu Cws,37381,I67101,-46.1918,167.06611,30,H,Niwa
Mahia Radar Wxt Aws,37835,D97182,-39.168,177.888,419,G,Metservice
Mamaku Radar Wxt Aws,38671,B86003,-38.066,176.062,617,G,Metservice
Tutira Cws,39944,D96286,-39.22428,176.83882,235,H,Niwa
Waipounamu Cws,40639,I58872,-45.82525,168.71649,152,H,Environment Southland / Niwa
Tauranga Cws,41428,B76612,-37.6741,176.16303,3,H,Niwa
Taupo Cws,41429,B86609,-38.67812,176.07956,360,H,Niwa
Brothers Island Aws,4395,G14142,-41.1033,174.44174,68,H,Metservice
Te Pirita At Sharlands Road,45761,H31682,-43.63482,171.89685,208,H,N/A
Mokohinau Island Aws,9654,A55912,-35.90293,175.11537,70,H,Metservice
Hamilton Aero Aws,2112,C75834,-37.86088,175.33175,53,H,Metservice
Greymouth Aero Ews,23934,F21425,-42.46022,171.19157,5,H,Niwa
"Hamilton, Ruakura 2 Ews",26117,C75734,-37.77389,175.30517,45,H,Niwa/Agresearch
Gore Ews,42975,I68197,-46.12375,168.91938,60,H,Niwa
Gore Aws,5778,I68182,-46.11171,168.8876,123,H,N/A
"Auckland, Mangere",1945,C64971,-36.97,174.776,2,G,N/A
Murchison Area School,3879,F12837,-41.802,172.327,168,G,N/A
Rangiora Nzfs,4827,H32352,-43.311,172.571,46,G,N/A
"Dunedin,Musselburgh",5402,I50951,-45.904,170.513,2,G,N/A
"Hamilton, Ruakura",2101,C75731,-37.78,175.313,40,G,N/A
"Mokau,Mohakatino Stn",2165,C84761,-38.722,174.615,46,G,N/A
"Ruapehu,The Chalet",2367,C95255,-39.253,175.564,1941,G,N/A
Benmore Power Stn,5113,I40511,-44.569,170.19,253,G,N/A
Turangi,2347,C95085,-38.995,175.812,375,T,Niwa
Ruatoria 2,2725,D78931,-37.898,178.316,61,G,N/A
Ahu Ahu Valley,3659,E95614,-39.69,175.103,85,G,N/A
Appleby,4239,G13211,-41.293,173.099,17,G,N/A
Auckland City Edr,1425,A6487A,-36.861,174.751,75,G,Metservice
Te Puke Edr,1646,B76836,-37.82,176.322,91,G,Niwa
Lake Coleridge,4670,H31352,-43.365,171.529,364,G,N/A
Kawerau,1753,B86071,-38.079,176.718,30,G,N/A
Blenheim Research,4310,G13494,-41.498,173.963,4,T,N/A
"Manapouri,West Arm 2",5426,I57522,-45.525,167.276,232,G,N/A
Porangahau 2,2544,D06263,-40.283,176.656,8,T,N/A
"Clyde, Earnscleugh",5577,I59235,-45.207,169.313,171,T,N/A
Waiuku Forest,2011,C74371,-37.346,174.719,52,G,N/A
Pukekura,4031,F30061,-43.012,170.671,86,G,N/A
Hanmer Forest,4458,G22581,-42.522,172.854,387,G,N/A
Cheviot,4566,H23822,-42.812,173.277,85,G,N/A
"Turoa, Mt Ruapehu",3600,E95351,-39.307,175.525,1628,G,N/A
"Motueka, Riwaka",4162,G12191,-41.098,172.972,8,T,N/A
Invermay Edr,5365,I50836,-45.862,170.385,30,G,N/A
Whangaruru,7364,A54331,-35.349,174.326,20,G,N/A
Hanmer Forest Ews,11234,G22582,-42.53433,172.85098,363,H,Niwa/Carter Holt Harvey Forest
Warkworth Ews,17838,A64464,-36.43435,174.66766,72,H,Niwa
Mt Cook Ews,18125,H30706,-43.73633,170.0977,730,H,Niwa
Hastings Aws,3017,D96680,-39.61517,176.78902,16,H,N/A
Ohakune Ews,31621,E95449,-39.418,175.413,607,G,Niwa
Swampy Summit Aws,35134,I50845,-45.80079,170.47711,716,H,Metservice
Ivory Glacier Cws,36733,F30192,-43.134,170.913,1390,G,Niwa
Mt Potts Ews,37002,H30592,-43.50495,170.92635,2128,H,Niwa
Takahe Valley Cws,37047,I57262,-45.296,167.683,895,G,Niwa/Doc
Mueller Hut Ews,38102,H30709,-43.72154,170.06493,1818,H,Niwa
Whitianga Ews,40981,B65863,-36.828,175.672,1,G,Niwa
Milford Sound Ews,40987,F47694,-44.67399,167.92299,3,H,Niwa
Waikeria Ews,41389,C85034,-38.09468,175.3876,37,H,Niwa
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa
Arthurs Pass,4513,H21951,-42.94152,171.56285,745,H,N/A
Thames Ews,45320,B75153,-37.1585,175.55138,3,H,Niwa
Ashburton Council,4778,H31971,-43.89658,171.7472,101,H,N/A
"Lake Tekapo, Air Safaris",4970,H40041,-44.002,170.441,762,T,N/A
Ettrick No.2,5645,I59633,-45.623,169.348,91,G,N/A
Hawera Aws,25222,E94622,-39.60991,174.2916,100,H,Metservice
Hicks Bay Aws,2692,D78531,-37.56113,178.31462,46,H,Metservice
Orete Point Aws,1686,B77691,-37.608,177.903,6,G,Metservice
