,OID_,Elevation,Latitude,Longitude
0,148,72.0,-47.275,167.475
1,153,244.0,-47.275,167.525
2,156,49.0,-47.225,167.475
3,165,326.0,-47.225,167.525
4,174,36.0,-47.225,167.575
5,183,127.0,-47.175,167.575
6,272,179.0,-47.175,167.625
7,278,24.0,-47.175,167.675
8,285,104.0,-47.175,167.725
9,403,141.0,-47.125,167.625
10,405,259.0,-47.125,167.675
11,413,184.0,-47.125,167.725
12,293,124.0,-47.175,167.775
13,301,165.0,-47.175,167.825
14,309,0.0,-47.175,167.875
15,415,252.0,-47.125,167.775
16,418,256.0,-47.125,167.825
17,422,293.0,-47.125,167.875
18,425,75.0,-47.125,167.925
19,430,119.0,-47.125,167.975
20,436,61.0,-47.125,168.025
21,449,204.0,-47.075,167.625
22,456,363.0,-47.075,167.675
23,549,158.0,-47.075,167.725
24,667,380.0,-47.025,167.725
25,906,112.0,-46.975,167.725
26,556,176.0,-47.075,167.775
27,562,506.0,-47.075,167.825
28,568,258.0,-47.075,167.875
29,672,192.0,-47.025,167.775
30,677,419.0,-47.025,167.825
31,682,402.0,-47.025,167.875
32,944,100.0,-46.975,167.775
33,945,218.0,-46.975,167.825
34,946,59.0,-46.975,167.875
35,950,15.0,-46.925,167.775
36,951,60.0,-46.925,167.825
37,952,262.0,-46.925,167.875
38,574,183.0,-47.075,167.925
39,580,36.0,-47.075,167.975
40,652,61.0,-47.075,168.025
41,656,65.0,-47.075,168.075
42,687,299.0,-47.025,167.925
43,692,278.0,-47.025,167.975
44,697,165.0,-47.025,168.025
45,702,107.0,-47.025,168.075
46,947,462.0,-46.975,167.975
47,948,252.0,-46.975,168.025
48,949,156.0,-46.975,168.075
49,953,274.0,-46.925,167.925
50,954,34.0,-46.925,167.975
51,662,63.0,-47.075,168.125
52,767,140.0,-47.025,168.125
53,858,121.0,-47.025,168.175
54,968,161.0,-46.775,167.625
55,969,177.0,-46.775,167.725
56,955,228.0,-46.875,167.775
57,956,54.0,-46.875,167.825
58,957,20.0,-46.875,167.875
59,962,70.0,-46.825,167.775
60,963,19.0,-46.825,167.825
61,964,16.0,-46.825,167.875
62,970,38.0,-46.775,167.775
63,971,39.0,-46.775,167.825
64,972,96.0,-46.775,167.875
65,958,20.0,-46.875,167.925
66,959,304.0,-46.875,167.975
67,960,121.0,-46.875,168.025
68,961,112.0,-46.875,168.075
69,965,26.0,-46.825,167.925
70,966,263.0,-46.825,167.975
71,967,230.0,-46.825,168.025
72,973,238.0,-46.775,167.925
73,974,164.0,-46.775,167.975
74,975,72.0,-46.725,167.725
75,976,218.0,-46.725,167.775
76,977,149.0,-46.725,167.825
77,978,403.0,-46.725,167.875
78,979,444.0,-46.725,167.925
79,989,8.0,-46.575,168.525
80,990,7.0,-46.575,168.575
81,991,1.0,-46.575,168.625
82,992,0.0,-46.575,168.675
83,993,8.0,-46.575,168.775
84,980,20.0,-46.625,168.875
85,981,122.0,-46.625,168.925
86,982,94.0,-46.625,168.975
87,994,19.0,-46.575,168.825
88,995,39.0,-46.575,168.875
89,996,51.0,-46.575,168.925
90,997,194.0,-46.575,168.975
91,983,20.0,-46.625,169.025
92,984,141.0,-46.625,169.075
93,985,61.0,-46.625,169.125
94,998,276.0,-46.575,169.025
95,999,243.0,-46.575,169.075
96,1000,71.0,-46.575,169.125
97,29,116.0,-46.575,169.175
98,32,222.0,-46.575,169.225
99,35,45.0,-46.575,169.275
100,38,167.0,-46.575,169.325
101,986,25.0,-46.625,169.175
102,987,106.0,-46.625,169.225
103,988,60.0,-46.625,169.325
104,41,158.0,-46.575,169.375
105,43,20.0,-46.575,169.425
106,46,0.0,-46.575,169.475
107,48,16.0,-46.525,168.275
