Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,12.634623167075915,12.202623167075915
1,153,244.0,-47.275,167.525,12.713485936488723,11.249485936488723
2,156,49.0,-47.225,167.475,12.608614878598019,12.314614878598018
3,165,326.0,-47.225,167.525,12.685197972605238,10.729197972605238
4,174,36.0,-47.225,167.575,12.76792434899835,12.55192434899835
5,183,127.0,-47.175,167.575,12.739706600434147,11.977706600434146
6,272,179.0,-47.175,167.625,12.825026857390185,11.751026857390185
7,278,24.0,-47.175,167.675,12.914754864090355,12.770754864090355
8,285,104.0,-47.175,167.725,13.008165890118107,12.384165890118107
9,403,141.0,-47.125,167.625,12.79512400351814,11.94912400351814
10,405,259.0,-47.125,167.675,12.882345284888288,11.328345284888288
11,413,184.0,-47.125,167.725,12.973675168424961,11.869675168424962
12,293,124.0,-47.175,167.775,13.104531300225062,12.360531300225063
13,301,165.0,-47.175,167.825,13.203046380585874,12.213046380585874
14,309,0.0,-47.175,167.875,13.30277536479116,13.30277536479116
15,415,252.0,-47.125,167.775,13.06844423567236,11.556444235672359
16,418,256.0,-47.125,167.825,13.165883045221562,11.629883045221563
17,422,293.0,-47.125,167.875,13.265054829098517,11.507054829098518
18,425,75.0,-47.125,167.925,13.36479267111281,12.91479267111281
19,430,119.0,-47.125,167.975,13.46366022026632,12.74966022026632
20,436,61.0,-47.125,168.025,13.55998020383413,13.19398020383413
21,449,204.0,-47.075,167.625,12.765238378939102,11.541238378939102
22,456,363.0,-47.075,167.675,12.849374883095152,10.671374883095151
23,549,158.0,-47.075,167.725,12.938001273098052,11.990001273098052
24,667,380.0,-47.025,167.725,12.900632024175138,10.620632024175139
25,906,112.0,-46.975,167.725,12.861254202376585,12.189254202376585
26,556,176.0,-47.075,167.775,13.030561700521503,11.974561700521502
27,562,506.0,-47.075,167.825,13.126378008775646,10.090378008775646
28,568,258.0,-47.075,167.875,13.224575651620398,11.676575651620398
29,672,192.0,-47.025,167.775,12.990252383504412,11.838252383504413
30,677,419.0,-47.025,167.825,13.083725864751614,10.569725864751614
31,682,402.0,-47.025,167.875,13.180310470284894,10.768310470284895
32,944,100.0,-46.975,167.775,12.947059166821418,12.347059166821419
33,945,218.0,-46.975,167.825,13.037252362104482,11.729252362104482
34,946,59.0,-46.975,167.875,13.131274921019212,12.777274921019213
35,950,15.0,-46.925,167.775,12.900850480858935,12.810850480858935
36,951,60.0,-46.925,167.825,12.98662101609807,12.62662101609807
37,952,262.0,-46.925,167.875,13.076806077544461,11.504806077544462
38,574,183.0,-47.075,167.925,13.323991796889459,12.225991796889458
39,580,36.0,-47.075,167.975,13.423077124156407,13.207077124156408
40,652,61.0,-47.075,168.025,13.519835549639538,13.153835549639538
41,656,65.0,-47.075,168.075,13.61193515213381,13.22193515213381
42,687,299.0,-47.025,167.925,13.278946668753633,11.484946668753633
43,692,278.0,-47.025,167.975,13.378100635804003,11.710100635804004
44,697,165.0,-47.025,168.025,13.47556337309652,12.48556337309652
45,702,107.0,-47.025,168.075,13.568315939744934,12.926315939744935
46,947,462.0,-46.975,167.975,13.326861533132615,10.554861533132614
47,948,252.0,-46.975,168.025,13.42493703396758,11.91293703396758
48,949,156.0,-46.975,168.075,13.519020099600311,12.583020099600311
49,953,274.0,-46.925,167.925,13.170757189000142,11.526757189000142
50,954,34.0,-46.925,167.975,13.267383785627317,13.063383785627316
51,662,63.0,-47.075,168.125,13.697230672667501,13.319230672667501
52,767,140.0,-47.025,168.125,13.652999049358186,12.812999049358186
53,858,121.0,-47.025,168.175,13.727799333297298,13.0017993332973
54,968,161.0,-46.775,167.625,12.58253285785031,11.616532857850311
55,969,177.0,-46.775,167.725,12.689732604529127,11.627732604529127
56,955,228.0,-46.875,167.775,12.8519588408235,11.4839588408235
57,956,54.0,-46.875,167.825,12.932052751581068,12.608052751581068
58,957,20.0,-46.875,167.875,13.01692292446387,12.89692292446387
59,962,70.0,-46.825,167.775,12.801263030487462,12.381263030487462
60,963,19.0,-46.825,167.825,12.87447011610493,12.76047011610493
61,964,16.0,-46.825,167.875,12.952594201924512,12.856594201924512
62,970,38.0,-46.775,167.775,12.750180674251169,12.52218067425117
63,971,39.0,-46.775,167.825,12.815487972009578,12.581487972009578
64,972,96.0,-46.775,167.875,12.8857198113692,12.309719811369199
65,958,20.0,-46.875,167.925,13.106084060200374,12.986084060200374
66,959,304.0,-46.875,167.975,13.198602361851954,11.374602361851954
67,960,121.0,-46.875,168.025,13.292797213376616,12.566797213376617
68,961,112.0,-46.875,168.075,13.385610876532155,12.713610876532154
69,965,26.0,-46.825,167.925,13.0352696878399,12.8792696878399
70,966,263.0,-46.825,167.975,13.121636959709576,11.543636959709577
71,967,230.0,-46.825,168.025,13.209986693836981,11.829986693836982
72,973,238.0,-46.775,167.925,12.96068043007108,11.532680430071078
73,974,164.0,-46.775,167.975,13.039714457278023,12.055714457278023
74,975,72.0,-46.725,167.725,12.648526551900432,12.216526551900431
75,976,218.0,-46.725,167.775,12.700575862603728,11.392575862603728
76,977,149.0,-46.725,167.825,12.757258345372975,11.863258345372975
77,978,403.0,-46.725,167.875,12.818838427643641,10.400838427643642
78,979,444.0,-46.725,167.925,12.885413749856525,10.221413749856525
79,989,8.0,-46.575,168.525,13.95392747601727,13.90592747601727
80,990,7.0,-46.575,168.575,13.973177768275491,13.931177768275491
81,991,1.0,-46.575,168.625,13.964565577334724,13.958565577334724
82,992,0.0,-46.575,168.675,13.935200859501492,13.935200859501492
83,993,8.0,-46.575,168.775,13.83473129144113,13.78673129144113
84,980,20.0,-46.625,168.875,13.779044540031464,13.659044540031465
85,981,122.0,-46.625,168.925,13.726478674521786,12.994478674521787
86,982,94.0,-46.625,168.975,13.674403780663852,13.110403780663852
87,994,19.0,-46.575,168.825,13.771324668821762,13.657324668821762
